City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,dalbandin,28.8947,64.4101,14.99,52,0,1.94,PK,1675556817
278,chama,47.1821,8.4636,4.12,95,100,0.0,CH,1675556818
279,grindavik,63.8424,-22.4338,3.26,93,100,10.8,IS,1675556818
280,asekeyevo,53.5742,52.7972,-13.09,93,100,1.72,RU,1675556818
281,port macquarie,-31.4333,152.9167,27.72,54,0,2.24,AU,1675556664
282,kayerkan,69.3497,87.7602,-11.93,92,100,2.11,RU,1675556819
283,barmer,25.75,71.3833,16.79,24,0,1.78,IN,1675556819
284,martapura,-3.4167,114.85,26.05,94,20,2.06,ID,1675556572
285,atambua,-9.1061,124.8925,23.65,88,100,0.92,ID,1675556820
286,flin flon,54.7682,-101.865,-14.09,66,100,1.03,CA,1675556820
287,antofagasta,-23.65,-70.4,23.6,81,3,0.99,CL,1675556693
288,port hardy,50.6996,-127.4199,8.1,87,100,12.86,CA,1675556818
289,owando,-0.4819,15.8999,23.8,59,100,1.3,CG,1675556821
290,cap malheureux,-19.9842,57.6142,24.7,85,90,5.31,MU,1675556821
291,salta,-24.7859,-65.4117,16.43,91,100,2.57,AR,1675556822
292,zurrieq,35.8311,14.4742,9.73,87,0,1.54,MT,1675556824
293,ostrovnoy,68.0531,39.5131,-10.25,84,100,5.66,RU,1675556825
294,drexel heights,32.1412,-111.0284,24.5,12,0,3.13,US,1675556831
295,shimoda,34.6667,138.95,9.2,58,66,5.76,JP,1675556615
296,sinegorye,62.0788,150.477,-26.99,99,100,0.82,RU,1675556837
297,sao felix do xingu,-6.6447,-51.995,22.32,99,92,0.46,BR,1675556839
298,guerrero negro,27.9769,-114.0611,18.62,51,0,5.19,MX,1675556845
299,tonk,26.1667,75.7833,14.87,41,0,0.64,IN,1675556846
300,oktyabrskiy,54.4815,53.471,-13.07,95,100,0.82,RU,1675556847
301,bandipur,27.9333,84.4167,6.92,70,1,1.13,NP,1675556853
302,arman,59.7,150.1667,-23.94,85,53,3.36,RU,1675556854
303,durango,24.8333,-104.8333,21.34,18,24,2.46,MX,1675556627
304,teguldet,57.3064,88.1667,-24.05,100,100,0.1,RU,1675556855
305,tabou,4.423,-7.3528,25.43,87,31,2.67,CI,1675556855
306,de-kastri,51.4667,140.7833,-20.53,93,77,1.67,RU,1675556855
307,shirokiy,49.758,129.523,-23.95,98,91,2.43,RU,1675556856
308,nianzishan,47.5167,122.8833,-20.44,94,5,1.59,CN,1675556856
309,ayan,56.45,138.1667,-21.74,86,89,2.16,RU,1675556857
310,urumqi,43.801,87.6005,-8.47,86,75,4.0,CN,1675556769
311,ancud,-41.8697,-73.8203,16.87,82,18,1.28,CL,1675556857
312,aasiaat,68.7098,-52.8699,-24.28,100,97,2.59,GL,1675556858
313,harindanga,22.0383,88.3214,16.81,39,88,2.35,IN,1675556858
314,vanderhoof,54.0166,-124.0198,1.51,92,100,2.95,CA,1675556858
315,orlovskiy,46.8714,42.0592,0.77,98,100,1.1,RU,1675556859
316,kapoeta,4.7717,33.5903,27.98,28,68,1.78,SS,1675556860
317,dimitrovgrad,54.2139,49.6184,-13.77,97,100,1.45,RU,1675556860
318,avanigadda,16.0215,80.9181,19.17,87,3,1.65,IN,1675556860
319,barra do bugres,-15.0725,-57.1811,23.66,91,100,1.39,BR,1675556861
320,buala,-8.145,159.5921,27.14,85,100,2.42,SB,1675556861
321,nchelenge,-9.3451,28.734,20.9,87,99,2.2,ZM,1675556861
322,coahuayana,18.7333,-103.6833,27.05,53,1,1.82,MX,1675556862
323,watertown,42.3709,-71.1828,-9.24,30,100,6.17,US,1675556587
324,kruisfontein,-34.0033,24.7314,21.39,63,68,2.28,ZA,1675556778
325,saint anthony,45.0205,-93.218,-1.86,73,0,3.09,US,1675556862
326,canico,32.6333,-16.85,17.35,74,40,7.2,PT,1675556863
327,mount gambier,-37.8333,140.7667,16.12,65,100,1.8,AU,1675556863
328,taoudenni,22.6783,-3.9836,15.23,38,100,6.01,ML,1675556863
329,sheridan,44.8333,-106.9173,6.21,57,0,1.54,US,1675556864
330,san cristobal,7.7669,-72.225,22.1,64,40,0.73,VE,1675556864
331,tezu,27.9167,96.1667,15.03,30,27,1.82,IN,1675556864
332,port-cartier,50.0334,-66.8654,-20.14,75,50,5.95,CA,1675556865
333,samarinda,-0.5,117.15,23.55,97,100,0.87,ID,1675556866
